27,919.9
27.2,980.6
27.3,971.25
27.4,961.45
27.5,964.4
27.6,963.55
27.7,973.4
27.8,994.65
27.9,1020.85
28,1092.75
28.1,1165.25
28.2,1215.2
28.3,1253.15
28.4,1295.45
28.5,1321.3
28.6,1352.35
28.7,1397.55
28.8,1401.45
28.9,1397.35
29,1365.7
29.1,1280.7
29.2,1211.7
29.3,1157.05
29.4,1089.85
29.5,1053.85
29.6,1033.55
29.7,998.25
29.8,989
29.9,987.85
30,986.2
30.1,983.55
30.2,958.35
30.3,956.15
30.4,968.65
30.5,975.65
30.6,959.1
30.7,986.4
30.8,1106.4
30.9,1343.3
31,1581.8
31.1,1817.75
31.2,2054.95
31.3,2259.2
31.4,2443.95
31.5,2601.65
31.6,2704.15
31.7,2770.6
31.8,2821
31.9,2772.45
32,2614.15
32.1,2399.15
32.2,2185.75
32.3,1933.95
32.4,1667.8
32.5,1440.9
32.6,1220.65
32.7,1074.65
32.8,1013.15
32.9,976.5
33,946.65
33.1,949.45
33.2,946.45
33.3,938.2
33.4,951.1
33.5,978.45
33.6,964
33.7,925.7
33.8,917.45
33.9,928.5
